Age,Gender,Height_cm,Weight_kg,Goal,Experience,Budget,Workout_Days,Trainer,Swimming,Membership
44,Male,174,108,Muscle Gain,Beginner,2000,2,Yes,No,Standard
32,Male,183,104,Weight Loss,Advanced,2500,2,No,Yes,Standard
47,Female,178,109,Muscle Gain,Advanced,5000,3,No,No,Elite
34,Male,190,80,General Fitness,Intermediate,2500,4,No,Yes,Premium
36,Male,167,87,Muscle Gain,Advanced,1500,3,Yes,Yes,Basic
42,Male,163,53,Muscle Gain,Intermediate,3500,6,No,No,Premium
21,Male,176,94,General Fitness,Advanced,1000,6,No,No,Basic
18,Female,169,94,Muscle Gain,Advanced,2500,5,Yes,No,Standard
45,Female,151,94,Muscle Gain,Advanced,4000,3,No,Yes,Premium
52,Male,175,48,Weight Loss,Advanced,4000,3,No,Yes,Premium
21,Female,174,86,Weight Loss,Intermediate,3500,4,No,No,Premium
44,Female,155,105,Weight Loss,Advanced,1000,4,Yes,Yes,Basic
20,Male,165,70,Weight Loss,Advanced,2000,3,Yes,No,Standard
25,Male,179,77,Muscle Gain,Beginner,1500,3,No,Yes,Basic
55,Male,169,93,Muscle Gain,Advanced,2500,2,Yes,Yes,Standard
37,Male,186,50,Muscle Gain,Advanced,4000,4,Yes,No,Premium
18,Female,181,58,Muscle Gain,Intermediate,5000,3,No,Yes,Elite
51,Female,189,106,Muscle Gain,Intermediate,3000,4,Yes,Yes,Premium
35,Female,165,104,General Fitness,Advanced,4000,4,Yes,No,Premium
38,Male,181,72,Muscle Gain,Intermediate,3500,4,No,Yes,Premium
51,Male,155,75,General Fitness,Intermediate,5000,6,Yes,No,Premium
49,Female,151,56,Muscle Gain,Beginner,4000,3,No,No,Premium
48,Female,177,87,Muscle Gain,Advanced,5000,4,No,No,Elite
32,Male,162,85,Weight Loss,Advanced,2000,3,Yes,No,Standard
35,Female,156,69,Muscle Gain,Beginner,3500,3,No,Yes,Premium
52,Male,167,50,Weight Loss,Advanced,3000,3,No,Yes,Premium
18,Female,180,106,Muscle Gain,Intermediate,2000,2,No,No,Standard
25,Male,175,107,Weight Loss,Advanced,1000,3,Yes,No,Basic
23,Male,157,98,General Fitness,Advanced,2500,6,No,No,Premium
46,Female,187,99,Muscle Gain,Advanced,1000,6,Yes,Yes,Basic
31,Female,155,65,Weight Loss,Beginner,1500,3,Yes,No,Basic
46,Female,168,49,Weight Loss,Intermediate,3000,5,Yes,Yes,Premium
34,Male,177,59,General Fitness,Beginner,2000,4,Yes,Yes,Standard
21,Male,169,81,Muscle Gain,Beginner,5000,4,No,No,Elite
50,Female,178,55,General Fitness,Beginner,4000,4,No,Yes,Premium
23,Male,186,47,General Fitness,Intermediate,1000,3,No,No,Basic
35,Male,187,100,General Fitness,Intermediate,1500,5,No,No,Basic
39,Female,156,65,Muscle Gain,Intermediate,5000,4,No,Yes,Elite
47,Male,170,77,Muscle Gain,Beginner,4000,6,Yes,No,Premium
44,Male,162,91,General Fitness,Intermediate,5000,2,Yes,No,Premium
53,Male,168,101,General Fitness,Intermediate,1500,2,Yes,Yes,Basic
37,Male,185,97,Weight Loss,Beginner,1500,5,Yes,Yes,Basic
49,Female,182,79,Muscle Gain,Intermediate,5000,3,No,Yes,Elite
42,Male,188,110,General Fitness,Beginner,1500,4,No,No,Basic
50,Female,150,81,General Fitness,Intermediate,5000,3,No,No,Premium
40,Female,185,93,Muscle Gain,Intermediate,2500,3,No,Yes,Standard
44,Male,170,105,General Fitness,Intermediate,4000,3,No,Yes,Premium
26,Female,156,101,Weight Loss,Advanced,5000,2,Yes,No,Elite
27,Male,180,78,Muscle Gain,Advanced,4000,2,No,No,Premium
38,Female,184,49,General Fitness,Beginner,2500,4,Yes,Yes,Premium
45,Male,190,57,Muscle Gain,Beginner,3000,2,Yes,No,Premium
21,Female,172,92,Muscle Gain,Beginner,2500,6,No,Yes,Standard
28,Male,155,93,General Fitness,Advanced,2500,5,Yes,Yes,Premium
47,Female,179,77,General Fitness,Beginner,5000,4,Yes,Yes,Premium
46,Female,187,83,General Fitness,Intermediate,3000,5,No,Yes,Premium
42,Female,156,75,Muscle Gain,Advanced,3500,6,No,No,Premium
19,Female,167,46,General Fitness,Advanced,1000,6,No,No,Basic
32,Female,164,69,General Fitness,Intermediate,2000,2,Yes,No,Standard
46,Male,187,91,General Fitness,Beginner,1500,4,No,No,Basic
29,Male,158,91,General Fitness,Advanced,3000,3,No,No,Premium
36,Female,157,104,Weight Loss,Beginner,2500,5,No,Yes,Standard
43,Male,166,60,Muscle Gain,Intermediate,3000,6,No,No,Premium
24,Male,180,48,General Fitness,Advanced,3500,6,Yes,Yes,Premium
47,Female,176,59,Weight Loss,Beginner,1000,4,No,Yes,Basic
24,Male,184,62,Muscle Gain,Intermediate,3500,6,No,Yes,Premium
44,Male,181,97,Muscle Gain,Beginner,3500,3,No,No,Premium
33,Female,156,92,General Fitness,Advanced,3500,2,No,No,Premium
30,Male,179,56,General Fitness,Beginner,1000,2,No,Yes,Basic
26,Male,154,71,General Fitness,Beginner,2500,4,Yes,Yes,Premium
35,Male,158,77,Weight Loss,Beginner,1000,3,Yes,No,Basic
33,Female,151,67,Muscle Gain,Beginner,2000,5,Yes,Yes,Standard
48,Female,173,110,General Fitness,Beginner,5000,6,Yes,Yes,Premium
51,Female,179,48,Weight Loss,Intermediate,4000,5,Yes,No,Premium
46,Male,155,86,General Fitness,Beginner,1500,3,No,No,Basic
42,Female,179,109,General Fitness,Intermediate,1500,2,Yes,No,Basic
46,Male,176,88,Muscle Gain,Intermediate,4000,2,No,No,Premium
38,Female,173,64,General Fitness,Intermediate,1500,2,Yes,Yes,Basic
45,Male,173,61,General Fitness,Beginner,3500,2,No,No,Premium
45,Male,168,84,Muscle Gain,Beginner,2500,3,No,Yes,Standard
24,Female,185,92,Weight Loss,Intermediate,2500,5,Yes,No,Standard
19,Male,167,84,Muscle Gain,Intermediate,1000,3,Yes,No,Basic
22,Male,190,48,Weight Loss,Advanced,2500,5,No,No,Standard
39,Male,173,84,General Fitness,Intermediate,1500,2,Yes,Yes,Basic
21,Male,167,101,General Fitness,Intermediate,5000,6,No,No,Premium
35,Male,182,59,Muscle Gain,Intermediate,1500,4,No,No,Basic
20,Male,175,52,Weight Loss,Beginner,3000,3,Yes,No,Premium
36,Female,157,45,Muscle Gain,Advanced,4000,3,Yes,No,Premium
52,Male,182,90,Weight Loss,Intermediate,1000,5,Yes,No,Basic
22,Female,186,99,General Fitness,Intermediate,4000,4,Yes,No,Premium
19,Female,160,103,General Fitness,Intermediate,1500,5,Yes,Yes,Basic
45,Female,183,55,Muscle Gain,Intermediate,3500,3,No,Yes,Premium
22,Male,183,110,Weight Loss,Intermediate,3500,3,Yes,Yes,Premium
27,Female,162,67,General Fitness,Beginner,1500,3,No,No,Basic
54,Female,186,86,General Fitness,Intermediate,2000,5,Yes,No,Standard
46,Female,167,52,Muscle Gain,Advanced,1500,4,No,No,Basic
20,Male,173,81,Weight Loss,Advanced,1500,6,No,No,Basic
55,Male,178,69,Muscle Gain,Advanced,5000,6,Yes,Yes,Elite
46,Male,171,55,General Fitness,Advanced,2000,2,Yes,No,Standard
46,Male,173,92,Muscle Gain,Intermediate,4000,4,Yes,No,Premium
22,Female,156,94,Muscle Gain,Intermediate,2000,4,Yes,Yes,Standard
40,Female,175,61,General Fitness,Advanced,1500,4,No,No,Basic
26,Male,177,110,Muscle Gain,Beginner,3500,4,Yes,Yes,Premium
39,Female,162,73,Weight Loss,Beginner,1500,4,Yes,Yes,Basic
39,Male,188,93,Weight Loss,Beginner,2000,6,Yes,No,Standard
20,Female,173,75,Muscle Gain,Advanced,3000,5,Yes,Yes,Premium
37,Female,162,92,General Fitness,Advanced,5000,5,No,No,Premium
50,Female,160,70,General Fitness,Beginner,3000,2,No,No,Premium
53,Male,183,60,Muscle Gain,Beginner,2000,4,No,Yes,Standard
45,Male,164,102,Muscle Gain,Beginner,4000,2,No,No,Premium
33,Female,155,92,Weight Loss,Beginner,3500,2,No,Yes,Premium
26,Male,168,105,General Fitness,Beginner,5000,5,Yes,Yes,Premium
19,Female,163,64,General Fitness,Advanced,4000,2,No,Yes,Premium
37,Male,153,75,Muscle Gain,Advanced,5000,2,Yes,No,Elite
52,Male,190,110,General Fitness,Beginner,2000,4,No,Yes,Standard
40,Male,186,98,Weight Loss,Advanced,1500,6,No,Yes,Basic
51,Male,174,105,Weight Loss,Advanced,4000,4,No,Yes,Premium
40,Male,172,75,General Fitness,Advanced,1500,6,No,Yes,Basic
20,Female,184,88,General Fitness,Beginner,5000,5,Yes,Yes,Premium
22,Female,152,82,Weight Loss,Beginner,2500,2,No,No,Standard
50,Female,184,105,Muscle Gain,Beginner,2500,4,No,Yes,Standard
39,Female,157,92,Muscle Gain,Intermediate,5000,5,No,Yes,Elite
49,Female,173,79,Weight Loss,Advanced,4000,2,No,Yes,Premium
52,Female,170,58,Weight Loss,Intermediate,3000,4,No,No,Premium
28,Female,172,102,Weight Loss,Advanced,3500,6,No,No,Premium
21,Male,190,96,Muscle Gain,Advanced,2000,2,Yes,No,Standard
20,Male,154,75,General Fitness,Intermediate,3500,5,Yes,Yes,Premium
46,Female,173,101,Weight Loss,Advanced,2000,6,No,No,Standard
38,Female,165,59,Weight Loss,Advanced,2000,5,No,Yes,Standard
34,Female,178,72,General Fitness,Intermediate,5000,3,Yes,Yes,Premium
22,Female,161,101,Weight Loss,Advanced,3500,4,Yes,No,Premium
37,Male,190,67,Muscle Gain,Advanced,2500,2,Yes,Yes,Standard
33,Female,151,91,General Fitness,Advanced,3500,5,Yes,Yes,Premium
22,Female,175,106,General Fitness,Intermediate,4000,6,Yes,Yes,Premium
38,Male,178,104,General Fitness,Advanced,3500,3,Yes,Yes,Premium
45,Male,157,64,Muscle Gain,Beginner,2000,4,Yes,No,Standard
51,Female,155,77,Weight Loss,Advanced,3000,3,No,Yes,Premium
50,Male,187,64,Weight Loss,Advanced,3500,6,Yes,Yes,Premium
23,Male,186,78,General Fitness,Beginner,4000,6,Yes,No,Premium
52,Female,169,106,Weight Loss,Advanced,4000,4,No,Yes,Premium
21,Male,178,98,Muscle Gain,Intermediate,2500,4,Yes,No,Standard
38,Female,175,61,Muscle Gain,Advanced,1500,4,Yes,No,Basic
25,Female,178,76,Weight Loss,Beginner,1000,4,No,No,Basic
33,Male,170,85,Weight Loss,Beginner,5000,6,No,No,Elite
37,Female,151,56,Muscle Gain,Advanced,5000,3,Yes,No,Elite
21,Male,168,108,General Fitness,Advanced,5000,4,Yes,Yes,Premium
45,Male,166,91,Muscle Gain,Intermediate,1000,5,Yes,Yes,Basic
41,Female,154,94,General Fitness,Intermediate,3000,6,Yes,Yes,Premium
24,Female,173,88,General Fitness,Intermediate,2000,3,No,Yes,Standard
20,Male,158,87,Muscle Gain,Advanced,5000,3,Yes,No,Elite
38,Male,175,83,General Fitness,Intermediate,5000,6,No,No,Premium
19,Female,171,59,Muscle Gain,Advanced,3000,2,No,No,Premium
55,Male,153,106,Weight Loss,Advanced,4000,3,Yes,Yes,Premium
54,Male,162,47,Muscle Gain,Intermediate,4000,3,No,Yes,Premium
44,Female,153,62,General Fitness,Beginner,3500,5,No,No,Premium
29,Female,184,88,General Fitness,Intermediate,3000,6,No,Yes,Premium
33,Female,185,83,Weight Loss,Intermediate,3000,3,No,No,Premium
48,Female,185,80,Muscle Gain,Beginner,4000,5,No,Yes,Premium
36,Male,168,55,Muscle Gain,Intermediate,3000,5,Yes,Yes,Premium
52,Female,185,79,Weight Loss,Beginner,2500,3,Yes,Yes,Standard
32,Male,156,97,Muscle Gain,Advanced,5000,2,Yes,Yes,Elite
53,Male,176,105,Muscle Gain,Advanced,2500,4,No,No,Standard
21,Male,186,74,General Fitness,Advanced,1000,3,No,Yes,Basic
20,Female,181,68,General Fitness,Intermediate,1000,2,No,Yes,Basic
39,Female,179,108,Weight Loss,Advanced,5000,4,Yes,Yes,Elite
39,Male,179,77,General Fitness,Beginner,1000,4,No,Yes,Basic
29,Female,177,110,Muscle Gain,Beginner,4000,2,Yes,Yes,Premium
48,Female,165,45,Muscle Gain,Intermediate,2500,5,No,No,Standard
37,Male,166,91,General Fitness,Beginner,1000,2,No,No,Basic
28,Female,182,84,General Fitness,Beginner,3000,4,Yes,Yes,Premium
26,Female,159,103,General Fitness,Advanced,3500,5,No,Yes,Premium
33,Male,183,102,General Fitness,Advanced,3500,2,Yes,Yes,Premium
53,Male,186,64,Weight Loss,Intermediate,5000,2,Yes,No,Elite
23,Female,153,103,Weight Loss,Advanced,4000,5,Yes,No,Premium
37,Male,175,77,Weight Loss,Advanced,2500,6,Yes,Yes,Standard
45,Female,154,52,Weight Loss,Intermediate,1000,4,No,Yes,Basic
26,Female,173,93,Muscle Gain,Intermediate,4000,2,Yes,No,Premium
25,Male,184,95,General Fitness,Beginner,2500,2,Yes,No,Premium
47,Female,184,93,Weight Loss,Beginner,5000,4,Yes,No,Elite
30,Male,152,98,General Fitness,Beginner,2500,3,Yes,Yes,Premium
20,Female,188,51,Weight Loss,Advanced,1000,5,No,Yes,Basic
52,Male,153,62,General Fitness,Intermediate,2500,6,No,No,Premium
33,Female,159,73,Muscle Gain,Intermediate,3000,2,Yes,No,Premium
53,Female,153,89,General Fitness,Advanced,4000,6,No,No,Premium
44,Male,169,93,Weight Loss,Advanced,5000,3,Yes,No,Elite
27,Female,153,97,Muscle Gain,Advanced,2000,5,Yes,No,Standard
31,Female,155,102,Muscle Gain,Beginner,2500,2,No,No,Standard
20,Male,162,72,Muscle Gain,Beginner,3500,4,Yes,Yes,Premium
30,Male,180,76,General Fitness,Advanced,2500,5,Yes,No,Premium
36,Female,179,90,Muscle Gain,Intermediate,3500,6,No,No,Premium
24,Female,170,71,Muscle Gain,Intermediate,4000,2,Yes,Yes,Premium
19,Female,185,98,Muscle Gain,Beginner,2500,4,Yes,No,Standard
54,Male,181,88,Muscle Gain,Intermediate,5000,5,Yes,No,Elite
28,Male,184,107,Weight Loss,Advanced,1000,6,Yes,Yes,Basic
21,Male,176,62,General Fitness,Beginner,1500,3,Yes,Yes,Basic
50,Female,173,52,General Fitness,Advanced,5000,5,Yes,Yes,Premium
52,Female,150,47,General Fitness,Advanced,3000,6,No,Yes,Premium
50,Female,161,58,Weight Loss,Advanced,2000,3,Yes,No,Standard
40,Female,175,55,Muscle Gain,Intermediate,5000,6,Yes,Yes,Elite
37,Male,152,56,Muscle Gain,Intermediate,4000,6,No,Yes,Premium
18,Male,155,108,Muscle Gain,Advanced,3500,6,Yes,Yes,Premium
32,Male,186,105,Muscle Gain,Beginner,1500,4,Yes,Yes,Basic
38,Male,163,63,General Fitness,Intermediate,1500,4,Yes,Yes,Basic
54,Female,184,87,Muscle Gain,Advanced,2000,2,No,Yes,Standard
24,Female,164,54,Muscle Gain,Advanced,4000,4,Yes,No,Premium
46,Female,164,90,General Fitness,Intermediate,4000,3,No,Yes,Premium
36,Male,154,55,Muscle Gain,Beginner,4000,3,No,No,Premium
41,Male,155,45,Muscle Gain,Intermediate,3500,4,Yes,Yes,Premium
23,Male,177,102,General Fitness,Advanced,4000,2,Yes,Yes,Premium
40,Male,188,86,Muscle Gain,Beginner,3000,5,No,Yes,Premium
53,Male,186,66,General Fitness,Intermediate,2000,3,No,No,Standard
35,Female,159,53,Weight Loss,Intermediate,3000,5,No,No,Premium
22,Female,166,76,General Fitness,Advanced,5000,6,Yes,No,Premium
24,Male,169,45,Muscle Gain,Intermediate,4000,4,No,No,Premium
45,Male,169,86,General Fitness,Advanced,2500,5,No,Yes,Premium
43,Female,168,107,General Fitness,Beginner,3500,5,No,No,Premium
41,Male,186,70,General Fitness,Advanced,2000,6,Yes,No,Standard
31,Female,168,53,Muscle Gain,Advanced,5000,3,No,Yes,Elite
34,Male,177,93,Weight Loss,Intermediate,5000,6,No,No,Elite
52,Male,173,55,Weight Loss,Beginner,3500,3,Yes,No,Premium
39,Female,156,46,Weight Loss,Intermediate,2500,6,Yes,No,Standard
41,Female,179,109,Weight Loss,Intermediate,1000,5,Yes,No,Basic
44,Male,157,63,Muscle Gain,Intermediate,3500,5,Yes,No,Premium
40,Female,156,101,General Fitness,Advanced,5000,4,Yes,No,Premium
20,Male,151,88,General Fitness,Beginner,2000,3,Yes,Yes,Standard
39,Female,179,74,Muscle Gain,Advanced,2000,3,No,No,Standard
19,Male,178,99,Muscle Gain,Beginner,2500,3,No,Yes,Standard
54,Male,184,68,Muscle Gain,Intermediate,2500,5,Yes,No,Standard
49,Female,188,94,General Fitness,Intermediate,1500,4,No,No,Basic
29,Female,189,55,General Fitness,Beginner,3500,2,Yes,No,Premium
25,Male,173,63,General Fitness,Intermediate,4000,6,Yes,No,Premium
45,Male,181,67,General Fitness,Beginner,5000,4,Yes,Yes,Premium
38,Female,189,51,Muscle Gain,Beginner,5000,3,Yes,No,Elite
53,Female,176,107,Muscle Gain,Advanced,5000,5,Yes,Yes,Elite
54,Male,164,82,Weight Loss,Intermediate,2500,6,No,Yes,Standard
47,Female,185,110,Weight Loss,Advanced,1500,4,No,Yes,Basic
46,Male,177,58,General Fitness,Advanced,2500,4,Yes,No,Premium
34,Female,155,101,Weight Loss,Beginner,2500,6,No,No,Standard
28,Male,163,71,Weight Loss,Advanced,3500,6,No,Yes,Premium
38,Female,168,79,General Fitness,Advanced,1500,3,No,Yes,Basic
35,Male,158,76,Weight Loss,Advanced,3500,3,No,No,Premium
27,Female,190,98,Muscle Gain,Intermediate,1500,2,No,No,Basic
41,Female,181,86,General Fitness,Beginner,1500,5,No,Yes,Basic
52,Female,163,99,Weight Loss,Intermediate,3000,4,No,No,Premium
53,Male,186,107,Muscle Gain,Advanced,1000,2,Yes,No,Basic
19,Male,160,101,Muscle Gain,Beginner,4000,3,Yes,No,Premium
28,Female,155,91,Muscle Gain,Beginner,3500,3,Yes,No,Premium
37,Male,177,56,General Fitness,Beginner,1000,3,No,Yes,Basic
26,Male,183,101,Weight Loss,Beginner,3500,2,No,Yes,Premium
48,Male,164,94,Weight Loss,Advanced,1500,2,No,No,Basic
37,Male,174,62,General Fitness,Advanced,2000,2,Yes,Yes,Standard
46,Female,163,64,Muscle Gain,Advanced,5000,3,Yes,Yes,Elite
26,Male,187,94,Muscle Gain,Intermediate,3500,3,Yes,No,Premium
23,Male,185,81,General Fitness,Beginner,3000,3,Yes,No,Premium
36,Male,165,108,Muscle Gain,Beginner,2500,5,Yes,Yes,Standard
41,Female,158,94,General Fitness,Intermediate,3500,6,Yes,No,Premium
22,Male,187,53,Weight Loss,Intermediate,2500,2,Yes,No,Standard
50,Female,190,109,Muscle Gain,Intermediate,4000,2,Yes,No,Premium
23,Female,155,110,Weight Loss,Beginner,3500,5,Yes,No,Premium
45,Male,153,76,Weight Loss,Intermediate,1500,5,Yes,No,Basic
29,Male,150,62,General Fitness,Beginner,2000,5,No,No,Standard
28,Female,158,79,General Fitness,Beginner,1000,4,No,No,Basic
51,Male,166,54,Muscle Gain,Intermediate,3500,2,No,Yes,Premium
41,Male,166,58,General Fitness,Advanced,1500,3,Yes,Yes,Basic
18,Male,152,105,Muscle Gain,Intermediate,2000,3,Yes,No,Standard
32,Female,165,98,General Fitness,Intermediate,3000,2,No,Yes,Premium
50,Male,161,73,General Fitness,Beginner,4000,2,No,No,Premium
37,Female,155,103,Weight Loss,Intermediate,2500,4,No,Yes,Standard
47,Female,187,108,Weight Loss,Advanced,2500,3,Yes,No,Standard
19,Male,184,89,General Fitness,Advanced,1000,4,Yes,No,Basic
37,Male,163,75,Muscle Gain,Intermediate,1000,3,No,Yes,Basic
20,Male,183,97,General Fitness,Intermediate,5000,2,Yes,Yes,Premium
43,Male,187,52,Muscle Gain,Advanced,2000,3,No,No,Standard
38,Female,170,85,Muscle Gain,Intermediate,2500,2,Yes,Yes,Standard
55,Male,159,58,Weight Loss,Intermediate,5000,4,No,Yes,Elite
52,Female,163,102,Muscle Gain,Intermediate,3000,2,Yes,Yes,Premium
37,Male,163,86,Weight Loss,Beginner,2500,4,No,Yes,Standard
37,Female,161,48,Muscle Gain,Intermediate,2500,2,No,Yes,Standard
26,Male,150,52,Weight Loss,Beginner,2500,5,No,Yes,Standard
55,Female,154,47,Weight Loss,Beginner,5000,3,Yes,No,Elite
25,Male,179,51,Weight Loss,Advanced,4000,5,No,Yes,Premium
42,Female,161,90,Weight Loss,Beginner,3000,4,No,Yes,Premium
20,Male,168,108,Muscle Gain,Advanced,5000,2,Yes,No,Elite
42,Male,176,70,General Fitness,Advanced,2500,6,Yes,No,Premium
40,Female,184,107,Muscle Gain,Advanced,3500,5,No,Yes,Premium
19,Female,188,73,Weight Loss,Intermediate,1000,5,No,Yes,Basic
28,Male,165,75,Muscle Gain,Advanced,1000,3,No,No,Basic
29,Male,165,85,General Fitness,Advanced,3500,6,Yes,No,Premium
54,Male,186,69,Muscle Gain,Advanced,3000,3,No,Yes,Premium
23,Male,164,73,Weight Loss,Advanced,5000,2,No,Yes,Elite
26,Female,161,86,Weight Loss,Beginner,2000,6,Yes,Yes,Standard
51,Female,154,92,General Fitness,Advanced,4000,6,Yes,No,Premium
37,Female,158,65,General Fitness,Intermediate,5000,4,Yes,No,Premium
32,Male,174,84,General Fitness,Advanced,3000,3,Yes,Yes,Premium
54,Female,186,49,Weight Loss,Advanced,3500,6,Yes,Yes,Premium
49,Male,171,54,Weight Loss,Intermediate,3500,3,Yes,No,Premium
46,Male,166,71,Weight Loss,Advanced,1500,4,No,Yes,Basic
18,Male,174,101,General Fitness,Intermediate,2000,5,No,No,Standard
40,Female,156,106,General Fitness,Advanced,2500,3,No,Yes,Premium
20,Female,151,85,Muscle Gain,Beginner,1500,4,Yes,No,Basic
28,Male,185,56,Muscle Gain,Advanced,5000,2,No,Yes,Elite
45,Male,153,57,Muscle Gain,Beginner,2500,5,No,No,Standard
37,Male,156,51,Muscle Gain,Advanced,5000,3,Yes,No,Elite
18,Female,155,82,General Fitness,Advanced,5000,3,Yes,Yes,Premium
31,Male,190,82,Weight Loss,Intermediate,1500,4,No,No,Basic
49,Female,155,94,Weight Loss,Intermediate,4000,4,Yes,No,Premium
20,Female,178,104,Muscle Gain,Beginner,3000,6,Yes,Yes,Premium
24,Male,172,97,General Fitness,Beginner,1000,5,No,No,Basic
54,Male,180,83,Weight Loss,Intermediate,1000,6,Yes,Yes,Basic
46,Male,160,72,Weight Loss,Beginner,1000,5,Yes,No,Basic
30,Male,188,78,Muscle Gain,Advanced,1500,2,No,No,Basic
53,Female,167,103,Weight Loss,Advanced,4000,2,No,Yes,Premium
27,Male,156,57,Muscle Gain,Advanced,3500,5,No,No,Premium
49,Female,152,67,Muscle Gain,Intermediate,2000,6,No,Yes,Standard
43,Female,165,51,General Fitness,Intermediate,3000,4,Yes,No,Premium
37,Female,167,107,General Fitness,Advanced,1500,3,Yes,No,Basic
46,Female,167,98,General Fitness,Advanced,1500,3,No,Yes,Basic
44,Female,183,92,Weight Loss,Advanced,2000,2,No,No,Standard
26,Male,161,69,Weight Loss,Beginner,2500,2,No,Yes,Standard
41,Male,167,92,Muscle Gain,Advanced,4000,2,Yes,Yes,Premium
41,Female,188,102,Weight Loss,Intermediate,3500,4,Yes,No,Premium
23,Female,151,94,Weight Loss,Beginner,2500,3,Yes,Yes,Standard
35,Female,182,47,General Fitness,Beginner,5000,3,Yes,Yes,Premium
32,Female,188,84,General Fitness,Advanced,3000,5,No,No,Premium
47,Female,163,104,Muscle Gain,Advanced,4000,6,Yes,Yes,Premium
50,Female,185,81,Muscle Gain,Advanced,1500,5,Yes,No,Basic
35,Female,167,78,General Fitness,Advanced,3000,3,Yes,Yes,Premium
21,Female,170,62,General Fitness,Beginner,5000,4,No,No,Premium
43,Female,152,69,Muscle Gain,Advanced,2500,6,No,No,Standard
50,Female,160,68,Muscle Gain,Beginner,5000,3,No,Yes,Elite
39,Male,164,90,Weight Loss,Advanced,3000,5,No,No,Premium
34,Female,179,60,Muscle Gain,Beginner,1500,5,Yes,Yes,Basic
42,Female,176,51,Weight Loss,Beginner,2500,4,No,No,Standard
27,Female,161,55,Muscle Gain,Intermediate,2000,4,Yes,Yes,Standard
46,Female,163,66,General Fitness,Beginner,5000,2,Yes,No,Premium
